titulo,usuario,comentario
Are these areas safe?,Florence F,"Family of 6 including 2 teenagers would like to visit these places. Is it safe to visit by ourselves if we have our own driver or should we hire a guide?
1) Guatavita Lagoon
2) Cascade la chorrera
3) Chicaque Natural Park"
NA,SAV - SouthAmerVoyager/California Surfer,"Yes generally/relatively safe just be sure to get the feedback from your driver. I have explored all these places with the exception of Cascade la chorrera (on my to-do list) everywhere within about a 3 hours drive from Bogota and many of my drives are just myself and I am always alert and aware BUT I always ask locals what the current safety conditions are like.
You have a good sized group so this is a big plus.
Hope this helps.
SAV"
